Sequence Name;OTU
FTP62_2101_28513_17832;22
FTP62_2103_25875_17882;22
FTP62_2108_7710_23925;22
FTP62_2108_12786_25577;22
FTP62_2109_19699_12146;22
FTP62_2109_11925_23975;22
FTP62_2113_21991_12649;22
FTP62_1101_7690_14845;22
FTP62_1101_15569_15974;22
FTP62_1102_25725_8670;22
FTP62_1103_9148_4361;22
FTP62_1103_22201_18645;22
FTP62_1103_16267_19207;22
FTP62_1105_24995_19503;22
FTP62_1106_15154_19766;22
FTP62_1107_17010_2528;22
FTP62_1107_19217_11421;22
FTP62_1109_24311_14142;22
FTP62_1109_13251_21324;22
FTP62_1110_4286_8765;22
FTP62_1111_19948_11140;22
FTP62_1111_23219_17525;22
FTP62_1111_13972_22613;22
FTP62_1111_12291_26220;22
FTP62_1112_3443_12414;22
FTP62_1113_25135_16416;22
FTP62_1114_8256_9490;22
FTP62_2103_18490_18222;22
FTP62_2104_4137_16219;22
FTP62_2104_21566_19092;22
FTP62_2106_11010_21683;22
FTP62_2109_3163_13104;22
FTP62_2109_25428_16210;22
FTP62_2110_8303_7156;22
FTP62_2110_24715_12902;22
FTP62_2111_16883_2319;22
FTP62_2112_8966_7654;22
FTP62_2113_23257_6146;22
FTP62_2113_6785_17189;22
FTP62_2113_20906_18516;22
FTP62_2113_23840_19042;22
NR_Ba_50_648;22
PG_Al_1_587;22
PG_Al_15_735;22
PG_Al_3_275;22
PG_Eg_0_844;22
SK_Ba_50_481;22
SK_Ba_50_482;22
SRR8128414_15786;22
SRR8128417_3917;22
WB_Al_1_451;22
WB_Al_3_551;22
WB_Ba_50_676;22
WB_Ba_50_677;22
CI_Al_1_1436;23
CI_Al_1_1437;23
CI_Al_1_1438;23
CI_Eg_0_1875;23
PG_Al_1_1472;23
PG_Al_10_1712;23
PG_Eg_0_2224;23
PG_Eg_0_2225;23
SK_Eg_0_100;23
SK_Eg_0_101;23
SK_Eg_0_102;23
SRR8128414_8613;23
SRR8128424_3186;23
CI_Ba_50_420;24
PG_Al_10_518;24
PG_Al_10_519;24
PG_Al_15_571;24
PG_Al_15_572;24
PG_Al_15_573;24
PG_Al_15_574;24
COI_20_557_W59_Water_Offshore_1_255;25
COI_20_560_W62_Water_Offshore_1_123;25
COI_21_552_S57_Sediment_Offshore_1_214;25
COI_21_553_S58_Sediment_Offshore_1_259;25
COI_21_556_S61_Sediment_Offshore_1_1646;25
COI_21_557_S62_Sediment_Offshore_1_1079;25
COI_21_560_S65_Sediment_Offshore_1_1040;25
COI_24_242_S66_Sediment_Offshore_1_1622;25
COI_24_243_S67_Sediment_Offshore_1_1954;25
COI_24_244_S68_Sediment_Offshore_1_819;25
COI_24_246_S71_Sediment_Offshore_1_95;25
COI_24_247_S72_Sediment_Offshore_1_1701;25
COI_24_251_S76_Sediment_Offshore_1_2510;25
COI_24_551_S77_Sediment_Offshore_1_235;25
COI_24_556_S82_Sediment_Offshore_1_1436;25
COI_24_558_S84_Sediment_Offshore_1_489;25
COI_21_556_S61_Sediment_Offshore_1_1198;26
COI_21_557_S62_Sediment_Offshore_1_1339;26
COI_22_247_W78_Water_Offshore_1_660;26
COI_24_242_S66_Sediment_Offshore_1_998;26
COI_24_243_S67_Sediment_Offshore_1_709;26
COI_24_245_S69_Sediment_Offshore_1_52;26
COI_24_247_S72_Sediment_Offshore_1_561;26
COI_24_251_S76_Sediment_Offshore_1_316;26
COI_24_552_S78_Sediment_Offshore_1_88;26
COI_23_242_S33_Sediment_Bautino_1_1074;27
COI_25_243_B28_Biofoul_Bautino_1_137;27
COI_25_243_B28_Biofoul_Bautino_1_455;28
COI_25_243_B28_Biofoul_Bautino_1_2301;29
FTP62_2103_6162_24759;30
FTP62_2104_22704_17488;30
FTP62_1101_5723_14147;31
FTP62_2110_28963_14193;31
FTP62_1114_25535_7559;31
FTP62_2101_7604_22106;31
FTP62_2113_20205_17578;31
FTP62_1107_16225_19621;31
FTP62_2106_20070_2779;31
FTP62_2113_10133_25235;31
FTP62_1101_5699_12452;31
FTP62_1107_19639_19340;31
FTP62_1110_12883_8253;31
FTP62_1112_23465_17133;31
FTP62_1113_19495_12893;31
FTP62_2104_7712_5270;31
FTP62_2105_12326_19236;31
FTP62_2107_16675_14031;31
FTP62_2109_14316_28274;31
FTP62_1101_11917_3322;31
FTP62_1101_6888_10019;31
FTP62_1102_25251_10424;31
FTP62_1102_26454_11391;31
FTP62_1104_26356_20261;31
FTP62_1104_3992_22252;31
FTP62_1106_9003_16874;31
FTP62_1107_28514_16533;31
FTP62_1107_12348_19201;31
FTP62_1109_21336_26388;31
FTP62_1110_25019_19626;31
FTP62_1111_12527_26113;31
FTP62_1114_22814_20877;31
FTP62_2101_20132_18719;31
FTP62_2103_20697_3548;31
FTP62_2103_13142_20737;31
FTP62_2103_19745_26966;31
FTP62_2104_10927_2599;31
FTP62_2104_6346_5917;31
FTP62_2105_15714_3660;31
FTP62_2105_7409_19814;31
FTP62_2105_6156_21218;31
FTP62_2106_20491_2961;31
FTP62_2106_4074_21731;31
FTP62_2107_10299_11197;31
FTP62_2110_3561_17136;31
FTP62_2112_15784_18619;31
FTP62_2114_26695_15393;31
FTP62_1107_7626_13984;32
FTP62_2101_26621_20145;32
FTP62_1112_6767_7527;32
FTP62_2103_6528_25228;32
FTP62_2107_6068_17614;32
FTP62_2108_18118_4383;32
FTP62_2110_14615_23458;32
FTP62_2113_12312_17056;32
FTP62_1106_22804_9800;32
FTP62_1108_18320_21736;32
FTP62_1113_5684_9258;32
FTP62_2113_23610_23691;32
FTP62_1102_8708_12627;32
FTP62_1108_8028_6723;32
FTP62_1108_14310_23174;32
FTP62_1112_11549_24018;32
FTP62_2102_17628_28100;32
FTP62_2104_4342_14954;32
FTP62_2106_14010_11551;32
FTP62_2109_5760_22321;32
FTP62_2112_20438_8327;32
FTP62_1101_10270_4290;32
FTP62_1102_26551_7886;32
FTP62_1104_17386_5587;32
FTP62_1113_16849_25286;32
FTP62_1114_4465_9759;32
FTP62_2102_17731_8190;32
FTP62_2105_18917_26115;32
FTP62_2106_21216_24624;32
FTP62_2107_9758_15485;32
FTP62_2108_6255_20797;32
FTP62_2109_3915_15437;32
FTP62_2109_9355_21035;32
FTP62_2110_8229_8864;32
FTP62_2110_15507_25292;32
FTP62_2111_23120_22017;32
FTP62_2112_10663_12265;32
FTP62_2113_4561_12409;32
FTP62_1114_18905_22914;33
FTP62_2104_29210_12120;34
FTP62_2111_17517_12936;34
FTP62_1101_13330_20734;34
FTP62_1110_9115_27330;34
FTP62_1103_16881_22539;34
FTP62_1109_16384_16691;34
FTP62_1110_8016_20821;34
FTP62_1111_17480_9949;34
FTP62_1113_11344_20144;34
FTP62_2109_5549_17395;34
FTP62_2113_22354_23991;34
FTP62_2102_17873_5892;35
FTP62_2104_3884_12351;35
FTP62_1102_19665_14947;35
FTP62_1103_17012_17852;35
FTP62_1103_8266_17852;35
FTP62_1105_15348_2368;35
FTP62_1113_2977_12389;35
FTP62_1114_3170_15650;35
FTP62_2109_18868_4230;35
FTP62_1113_5557_7755;35
FTP62_1114_24853_7699;35
FTP62_2110_5992_17309;35
FTP62_2112_9386_9767;35
FTP62_2113_20966_21160;35
FTP62_2111_18040_12038;36
FTP62_1109_21377_10054;37
FTP62_1104_24595_13936;38
FTP62_1114_15596_13255;38
FTP62_1111_16128_4998;39
FTP62_1112_4324_21970;40
FTP62_1114_26932_19559;41
FTP62_2101_10955_16596;42
FTP62_2110_26848_7908;42
FTP62_2112_15581_26961;43
FTP62_2114_25889_19802;44
FTP62_2105_15392_4886;45
FTP62_2108_2733_11925;46
FTP62_1106_8853_4744;47
Jamaica_04__000972229;48
Jamaica_12__000972229;48
Jamaica_10__000739374;49
Littlefair_324;50
Littlefair_5384;51
Littlefair_7800;51
