Sequence Name;Group
BK4BC1_4_7596;1394
BK4BC1_4_8162;1394
BK4BC1_4_8582;1394
BK4BC1_4_9170;1394
BK4BC1_4_9186;1394
BK4BC1_4_10251;1394
BK4BC1_4_10845;1394
BK4BC1_4_11028;1394
BK4BC1_4_11196;1394
BK4BC1_4_12623;1394
BK4SA1_3_571;1394
BK4SB1_3_421;1394
BK4SB1_4_4580;1394
BK5BA1_1_728;1394
BK5BA1_1_2727;1394
BK5BA1_1_3757;1394
BK5BA1_1_4961;1394
BK5BA1_1_5065;1394
BK5BA1_1_5181;1394
BK5BA1_1_6489;1394
BK5BA1_1_6495;1394
BK5BA1_1_7046;1394
BK5BA1_1_7314;1394
BK5BA1_1_7459;1394
BK5BA1_1_7786;1394
BK5BA1_1_8386;1394
BK5BA1_1_8501;1394
BK5BA1_1_8516;1394
BK5BA1_1_10068;1394
BK5BA1_1_10291;1394
BK5BA1_1_10524;1394
BK5BA1_1_10583;1394
BK5BA1_1_11512;1394
BK5BA1_1_11677;1394
BK5BA1_1_11776;1394
BK5BA1_1_12009;1394
BK5BA1_2_770;1394
BK5BA1_2_797;1394
BK5BA1_2_2018;1394
BK5BA1_2_2803;1394
BK5BA1_2_3918;1394
BK5BA1_2_4322;1394
BK5BA1_2_5209;1394
BK5BA1_2_6159;1394
BK5BA1_2_6877;1394
BK5BA1_2_7916;1394
BK5BA1_2_9330;1394
BK5BA1_2_11385;1394
BK5BA1_2_12058;1394
BK5BA1_2_12476;1394
BK5BA1_2_12498;1394
BK5BA1_2_12764;1394
BK5BA1_2_12870;1394
BK5BA1_3_705;1394
BK5BA1_3_1863;1394
BK5BA1_3_2521;1394
BK5BA1_3_3416;1394
BK5BA1_3_4347;1394
BK5BA1_3_4516;1394
BK5BA1_3_4615;1394
BK5BA1_3_5929;1394
BK5BA1_3_6447;1394
BK5BA1_3_8402;1394
BK5BA1_3_9315;1394
BK5BA1_3_9854;1394
BK5BA1_3_9921;1394
BK5BA1_4_564;1394
BK5BA1_4_1645;1394
BK5BA1_4_2071;1394
BK5BA1_4_3824;1394
BK5BA1_4_4039;1394
BK5BB1_1_742;1394
BK5BB1_1_2017;1394
BK5BB1_1_2796;1394
BK5BB1_1_3941;1394
BK5BB1_1_5399;1394
BK5BB1_1_8110;1394
BK5BB1_1_8230;1394
BK5BB1_1_11569;1394
BK5BB1_1_11586;1394
BK5BB1_1_11970;1394
BK5BB1_1_12452;1394
BK5BB1_1_13161;1394
BK5BB1_1_13190;1394
BK5BB1_2_698;1394
BK5BB1_2_2646;1394
BK5BB1_2_3733;1394
BK5BB1_2_4816;1394
BK5BB1_2_5086;1394
BK5BB1_2_5757;1394
BK5BB1_2_6116;1394
BK5BB1_2_6604;1394
BK5BB1_2_7235;1394
BK5BB1_2_7496;1394
BK5BB1_2_7676;1394
BK5BB1_2_7778;1394
BK5BB1_2_7948;1394
BK5BB1_2_8480;1394
BK5BB1_2_8690;1394
BK5BB1_2_10508;1394
BK5BB1_2_10781;1394
BK5BB1_2_10847;1394
BK5BB1_2_11125;1394
BK5BB1_2_11534;1394
BK5BB1_2_12173;1394
BK5BB1_2_12362;1394
BK5BB1_2_12429;1394
BK5BB1_2_12441;1394
BK5BB1_2_12571;1394
BK5BB1_2_12814;1394
BK5BB1_2_13064;1394
BK5BB1_2_13116;1394
BK5BB1_3_624;1394
BK5BB1_3_2134;1394
BK5BB1_3_2878;1394
BK5BB1_3_5686;1394
BK5BB1_3_5973;1394
BK5BB1_3_7484;1394
BK5BB1_3_8374;1394
BK5BB1_4_661;1394
BK5BB1_4_3352;1394
BK5BB1_4_3642;1394
BK5BB1_4_6892;1394
BK5BB1_4_9326;1394
BK5BB1_4_9766;1394
BK5BB1_5_672;1394
BK5BB1_5_2463;1394
BK5BB1_5_3406;1394
BK5BB1_5_9284;1394
BK5BB1_5_9678;1394
BK5BB1_5_10559;1394
BK5BC1_1_652;1394
BK5BC1_1_2126;1394
BK5BC1_1_2798;1394
BK5BC1_1_3007;1394
BK5BC1_1_4306;1394
BK5BC1_1_4416;1394
BK5BC1_1_4910;1394
BK5BC1_1_5684;1394
BK5BC1_1_6882;1394
BK5BC1_1_7010;1394
BK5BC1_1_7187;1394
BK5BC1_1_7412;1394
BK5BC1_1_7450;1394
BK5BC1_2_725;1394
BK5BC1_2_1888;1394
BK5BC1_2_2588;1394
BK5BC1_2_3521;1394
BK5BC1_2_6060;1394
BK5BC1_2_6069;1394
BK5BC1_2_6849;1394
BK5BC1_2_7642;1394
BK5BC1_2_9127;1394
BK5BC1_2_10286;1394
BK5BC1_2_10918;1394
BK5BC1_3_670;1394
BK5BC1_3_2187;1394
BK5BC1_3_2909;1394
BK5BC1_3_3564;1394
BK5BC1_3_3643;1394
BK5BC1_3_3786;1394
BK5BC1_3_3945;1394
BK5BC1_3_4286;1394
BK5BC1_3_4511;1394
BK5BC1_3_4814;1394
BK5BC1_3_5421;1394
BK5BC1_3_5460;1394
BK5BC1_3_5622;1394
BK5BC1_3_6166;1394
BK5BC1_3_6177;1394
BK5BC1_3_6689;1394
BK5BC1_3_7151;1394
BK5BC1_3_7214;1394
BK5BC1_3_7332;1394
BK5BC1_3_7536;1394
BK5BC1_3_7859;1394
BK5BC1_3_7884;1394
BK5BC1_3_7967;1394
BK5BC1_4_700;1394
BK5BC1_4_2600;1394
BK5BC1_4_3545;1394
BK5BC1_4_3896;1394
BK5BC1_4_4384;1394
BK5BC1_4_4655;1394
BK5BC1_4_4764;1394
BK5BC1_4_5285;1394
BK5BC1_4_5575;1394
BK5BC1_4_6235;1394
BK5BC1_4_7615;1394
BK5BC1_4_7704;1394
BK5BC1_4_8854;1394
BK5BC1_4_9160;1394
BK5BC1_4_9244;1394
BK5BC1_4_9254;1394
