Sequence Name;OTU
BK1BA1_3_1602;29
BK1BA1_3_1833;29
BK1BA1_3_1853;29
BK1BA1_3_2008;29
BK1BA1_3_2042;29
BK1BA1_3_2226;29
BK1BA1_3_2276;29
BK1BA1_3_2291;29
BK1BA1_3_2898;29
BK1BA1_3_2962;29
BK1BA1_3_3284;29
BK1BA1_3_3812;29
BK1BA1_3_4155;29
BK1BA1_4_11;29
BK1BA1_4_105;29
BK1BA1_4_153;29
BK1BA1_4_187;29
BK1BA1_4_403;29
BK1BA1_4_598;29
BK1BA1_4_728;29
BK1BA1_4_782;29
BK1BA1_4_970;29
BK1BA1_4_981;29
BK1BA1_4_990;29
BK1BA1_4_1092;29
BK1BA1_4_1477;29
BK1BA1_4_1599;29
BK1BA1_4_1787;29
BK1BA1_5_11;29
BK1BA1_5_110;29
BK1BA1_5_176;29
BK1BA1_5_209;29
BK1BA1_5_221;29
BK1BA1_5_575;29
BK1BA1_5_893;29
BK1BA1_5_937;29
BK1BA1_5_1032;29
BK1BA1_5_1230;29
BK1BA1_5_1587;29
BK1BA1_5_1606;29
BK1BA1_5_1656;29
BK1BA1_5_1708;29
BK1BA1_5_1836;29
BK1BA1_5_1948;29
BK1BA1_5_1953;29
BK1BA1_5_2076;29
BK1BA1_5_2166;29
BK1BA1_5_2174;29
BK1BA1_5_2241;29
BK1BA1_5_2360;29
BK1BA1_5_3098;29
BK1BA1_5_3371;29
BK1BA1_5_3466;29
BK1BA1_5_3473;29
BK1BA1_5_3516;29
BK1BA1_5_4038;29
BK1BA1_5_4044;29
BK1BA1_5_4307;29
BK1BA1_5_4324;29
BK1BA1_5_4369;29
BK1BB1_1_11;29
BK1BB1_1_110;29
BK1BB1_1_164;29
BK1BB1_1_196;29
BK1BB1_1_210;29
BK1BB1_1_537;29
BK1BB1_1_725;29
BK1BB1_1_835;29
BK1BB1_1_948;29
BK1BB1_1_1013;29
BK1BB1_1_1351;29
BK1BB1_1_1448;29
BK1BB1_1_1539;29
BK1BB1_1_1562;29
BK1BB1_1_1618;29
BK1BB1_1_1651;29
BK1BB1_1_1666;29
BK1BB1_1_1934;29
BK1BB1_1_2047;29
BK1BB1_1_2071;29
BK1BB1_1_2106;29
BK1BB1_1_2132;29
BK1BB1_1_2156;29
BK1BB1_1_2271;29
BK1BB1_1_2485;29
BK1BB1_1_2501;29
BK1BB1_1_2614;29
BK1BB1_1_2632;29
BK1BB1_1_2848;29
BK1BB1_1_2929;29
BK1BB1_1_2940;29
BK1BB1_1_3071;29
BK1BB1_1_3596;29
BK1BB1_1_3758;29
BK1BB1_1_3809;29
BK1BB1_1_4380;29
BK1BB1_2_11;29
BK1BB1_2_183;29
BK1BB1_2_447;29
BK1BB1_2_585;29
BK1BB1_2_751;29
BK1BB1_2_1060;29
BK1BB1_2_1094;29
BK1BB1_2_1162;29
BK1BB1_2_1270;29
BK1BB1_2_1430;29
BK1BB1_2_1472;29
BK1BB1_2_1558;29
BK1BB1_2_1571;29
BK1BB1_2_2108;29
BK1BB1_2_2438;29
BK1BB1_2_2617;29
BK1BB1_2_2619;29
BK1BB1_3_10;29
BK1BB1_3_98;29
BK1BB1_3_182;29
BK1BB1_3_424;29
BK1BB1_3_650;29
BK1BB1_3_685;29
BK1BB1_3_962;29
BK1BB1_3_1005;29
BK1BB1_3_1039;29
BK1BB1_3_1118;29
BK1BB1_3_1132;29
BK1BB1_3_1159;29
BK1BB1_3_1270;29
BK1BB1_3_1283;29
BK1BB1_3_1323;29
BK1BB1_3_1785;29
BK1BB1_3_1802;29
BK1BB1_3_1854;29
BK1BB1_3_2080;29
BK1BB1_3_2251;29
BK1BB1_3_2306;29
BK1BB1_3_2354;29
BK1BB1_4_10;29
BK1BB1_4_81;29
BK1BB1_4_314;29
BK1BB1_4_526;29
BK1BB1_4_605;29
BK1BB1_4_767;29
BK1BB1_4_848;29
BK1BB1_5_10;29
BK1BB1_5_114;29
BK1BB1_5_171;29
BK1BB1_5_217;29
BK1BB1_5_557;29
BK1BB1_5_777;29
BK1BB1_5_961;29
BK1BB1_5_1009;29
BK1BB1_5_1049;29
BK1BB1_5_1058;29
BK1BB1_5_1268;29
BK1BB1_5_1610;29
BK1BB1_5_1685;29
BK1BB1_5_1761;29
BK1BB1_5_2092;29
BK1BB1_5_2309;29
BK1BB1_5_2499;29
BK1BB1_5_2654;29
BK1BB1_5_3413;29
BK1BB1_5_3447;29
BK1BB1_5_3513;29
BK1BB1_5_3608;29
BK1BB1_5_3791;29
BK1BB1_5_4226;29
BK1BB1_5_4280;29
BK1BB1_5_4336;29
BK1BC1_1_11;29
BK1BC1_1_113;29
BK1BC1_1_180;29
BK1BC1_1_219;29
BK1BC1_1_235;29
BK1BC1_1_654;29
BK1BC1_1_922;29
BK1BC1_1_1085;29
BK1BC1_1_1140;29
BK1BC1_1_1214;29
BK1BC1_1_1632;29
BK1BC1_1_1761;29
BK1BC1_1_1988;29
BK1BC1_1_2025;29
BK1BC1_1_2210;29
BK1BC1_1_2240;29
BK1BC1_1_2502;29
BK1BC1_1_2557;29
BK1BC1_1_2585;29
BK1BC1_1_2599;29
BK1BC1_1_2622;29
BK1BC1_1_2743;29
BK1BC1_1_2930;29
BK1BC1_1_3046;29
BK1BC1_1_3092;29
BK1BC1_1_3352;29
BK1BC1_1_3511;29
BK1BC1_1_3625;29
BK1BC1_1_3907;29
BK1BC1_1_4117;29
BK1BC1_1_4249;29
BK1BC1_1_4547;29
BK1BC1_1_4638;29
BK1BC1_1_4909;29
BK1BC1_1_4921;29
BK1BC1_1_5746;29
BK1BC1_1_6287;29
BK1BC1_1_6333;29
BK1BC1_1_6472;29
BK1BC1_2_13;29
BK1BC1_2_112;29
BK1BC1_2_180;29
BK1BC1_2_224;29
BK1BC1_2_596;29
BK1BC1_2_830;29
BK1BC1_2_1054;29
BK1BC1_2_1110;29
BK1BC1_2_1155;29
BK1BC1_2_1167;29
BK1BC1_2_1603;29
BK1BC1_2_1631;29
BK1BC1_2_1812;29
BK1BC1_2_1895;29
BK1BC1_2_1900;29
BK1BC1_2_1992;29
BK1BC1_2_2065;29
BK1BC1_2_2158;29
BK1BC1_2_2200;29
BK1BC1_2_2256;29
BK1BC1_2_2294;29
BK1BC1_2_2399;29
BK1BC1_2_2689;29
BK1BC1_2_2728;29
BK1BC1_2_2918;29
BK1BC1_2_3094;29
BK1BC1_2_3599;29
BK1BC1_2_3823;29
BK1BC1_2_4069;29
BK1BC1_2_4338;29
