domain;supergroup;division;subdivision;phylum;class;order;family;genus;species;accesion
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856933
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856943
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856928
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856926
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856980
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Eohypsibiidae;Bertolanius;Bertolanius_volubilis;AY598769
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibiidae_X;Hypsibiidae_XX;OP208049
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibiidae_X;Hypsibiidae_XX;OP208063
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibiidae_X;Hypsibiidae_XX;OP208052
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Acutuncus;Acutuncus_sp;MW009690
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Acutuncus;Acutuncus_antarcticus;JX865305
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Acutuncus;Acutuncus_antarcticus;KT898841
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Acutuncus;Acutuncus_antarcticus;LC089870
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Acutuncus;Acutuncus_giovanniniae;MW306855
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Adropion;Adropion_sp;MK392633
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Adropion;Adropion_scoticum;OP013274
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Adropion;Adropion_scoticum;OP684785
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Astatumen;Astatumen_trinacriae;FJ435790
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Borealibius;Borealibius_zetlandicus;FJ184601
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Cryobiotus;Cryobiotus_klebelsbergi;KT901831
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_sp;KJ856916
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_sp;KP013606
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_sp;KP013605
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_sp;KP013610
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_higginsi;KU513417
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_pingue;OP013273
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_pingue;FJ435793
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_puniceum;KP013597
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_tenue;OQ352269
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_sp;OR554247
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_sp;ON899875
